date,ticker,group,open,close,high,low,volume,ingest_date,ma30,ma30_slope_pct,ma30_slope_signal,ma30_slope_signal_confirmed,price_to_ma_pct,price_vs_ma_signal,price_vs_ma_breakout,price_vs_ma_signal_confirmed,bench_close,rs_ratio,rs_slope_pct,rs_slope_signal,rs_slope_signal_confirmed,recent_avg_vol,vol_factor,recent_max_vol,vol_rank_pct,up_week,vol_on_up,vol_on_down,accumulation_score,breakout_volume_ok,accumulation_confirmed,distribution_confirmed,stage_score_core,stage_label_core,stage_reason,market_stage_core,market_score_core,market_alignment_state,market_multiplier,base_quality_score,momentum_confirmed,stage_score_adj,stage_label_adj,stage_label_override_reason
2025-10-27,AAPL,Leader,264.624637176,270.1093444325,277.052644147,264.3949588157,293563310,2025-12-20,221.42399310944327,0.6657952046500216,rising,unconfirmed_rising,21.987387472952403,above,False,above,680.0681604067,0.3971798124925698,0.5391702795334958,rising,rising,239160643.0,1.2274733263700082,675037558,0.4348844097945732,True,0,0,0.0,False,False,False,0.6,Stage 1, |  |  | ,Stage 3,0.5,watch,0.6,0.35,False,0.39499999999999996,Stage 1,
2025-11-03,AAPL,Leader,270.159296229,268.2111761652,273.1364233008,265.9933164003,241487127,2025-12-20,223.7813964101733,0.8226584150619328,rising,unconfirmed_rising,19.854098896402675,above,False,above,669.0105468553,0.4009072464192575,0.7554286418434524,rising,rising,246172950.0,0.9809653213320148,675037558,0.357738801549765,False,0,0,0.0,False,False,False,0.6,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.545,Stage 1,
2025-11-10,AAPL,Leader,268.96,272.41,276.699,267.455,232952837,2025-12-20,226.31763042217,0.9538361247727569,rising,rising,20.36623019242907,above,False,above,669.9677433394,0.4066016650924034,1.6087653677329263,rising,rising,255301540.75,0.9124615398546121,675037558,0.3450961124151258,True,0,0,0.0,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.6400000000000001,Stage1_watch,base_quality
2025-11-17,AAPL,Leader,268.815,271.49,275.43,265.32,235974430,2025-12-20,228.41456530911668,1.035978170314191,rising,rising,18.85844478988839,above,False,above,657.1054155835,0.4131604968723639,1.7180381123661652,rising,rising,250994426.0,0.9401580495656107,675037558,0.3495722974276344,False,0,0,0.0,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.6400000000000001,Stage1_watch,base_quality
2025-11-24,AAPL,Leader,270.9,278.85,280.38,270.9,166067059,2025-12-20,230.88739658317337,1.116584047184975,rising,rising,20.7731578798191,above,False,above,681.3942763692,0.4092344325019112,1.0494871867316204,rising,rising,219120363.25,0.7578805389735954,675037558,0.24601158414358923,True,0,0,0.0,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.6400000000000001,Stage1_watch,base_quality
2025-12-01,AAPL,Leader,278.01,278.78,288.62,276.14,235050842,2025-12-20,233.58446959431666,1.098388328573121,rising,rising,19.348688071676047,above,False,above,683.6875596125,0.40775935744392766,0.5327332668276434,rising,rising,217511292.0,1.0806374227228626,675037558,0.3482040950379238,False,0,0,0.0,False,False,False,0.9,Stage 2, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.6400000000000001,Stage1_watch,base_quality
2025-12-08,AAPL,Leader,278.13,278.28,280.03,273.81,173978918,2025-12-20,235.8333009364833,1.0771140693232462,rising,rising,17.998602782118876,above,False,above,679.7690365054,0.4093743390116731,0.42239658514732475,flat,unconfirmed_flat,202767812.25,0.8580203932244181,675037558,0.25773220458349666,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.63,Stage 1,
2025-12-15,AAPL,Leader,280.15,273.67,280.15,266.95,333588749,2025-12-20,238.46034304660998,1.073068200810438,rising,rising,14.765414032180555,above,False,above,680.59,0.4021069954010491,-0.22108466724221923,flat,unconfirmed_flat,227171392.0,1.4684452389145901,675037558,0.49417805727485165,False,0,0,0.0,False,False,False,0.7,Stage 1, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.35,False,0.63,Stage 1,
2025-10-27,ACHR,Leader,11.58,11.22,11.72,10.76,256333127,2025-12-20,10.076000000000002,1.3935383417672345,rising,rising,11.353711790392994,above,False,above,680.0681604067,0.01649834627354135,3.46346691109441,rising,rising,344540288.5,0.7439859301098832,478311599,0.5359124209739267,False,0,0,0.25,False,False,False,0.9,Stage 2, |  |  | ,Stage 3,0.5,watch,0.6,0.32333333333333336,False,0.4578666666666667,Stage1_watch,market_restriction
2025-11-03,ACHR,Leader,11.09,8.18,11.09,7.2,423867534,2025-12-20,10.114333333333336,1.171504325983824,rising,rising,-19.124674554262956,below,False,unconfirmed_below,669.0105468553,0.012227012023129208,-5.897072942128053,falling,unconfirmed_falling,330929272.25,1.2808402566449,478311599,0.8861744830904675,False,0,0,0.25,False,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,False,0.3473333333333334,Stage 3,
2025-11-10,ACHR,Leader,8.47,7.88,9.11,7.62,453028554,2025-12-20,10.136000000000001,0.9198169997592124,rising,rising,-22.257300710339393,below,False,unconfirmed_below,669.9677433394,0.011761760291208614,-7.204286319904704,falling,unconfirmed_falling,351505846.75,1.2888222434667085,478311599,0.9471410581452364,False,0,0,0.125,True,False,False,0.4,Stage 3, |  |  | ,Stage 1,0.7999999999999999,cautious,0.85,0.07333333333333333,False,0.3473333333333334,Stage 3,
